Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Data Scientist (TS/SCI w/ Poly),$110K-$163K,3.5,Maxar,"Herndon, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Weapons and Sensors Engineer/Scientist,$110K-$163K,4.0,Dynetics,"Huntsville, AL",1001 - 5000 ,Company - Private,Aerospace & Defense,$100 to $500 million 
Applied Computer Scientist,$110K-$163K,4.5,Systems,"Woburn, MA",201 - 500 ,Company - Private,Aerospace & Defense,$100 to $500 million 
Senior Data Analyst,$110K-$163K,4.5,Novetta,"Herndon, VA",501 - 1000 ,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million 
Cloud Data Engineer (Azure),$110K-$163K,3.9,Navy,"Merrifield, VA",10000+ ,Other Organization,Banks & Credit Unions,Unknown 
"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",$110K-$163K,4.0,Exact,"Madison, WI",1001 - 5000 ,Company - Public,Health Care Services & Hospitals,$100 to $500 million 
Sr. Data Analyst,$110K-$163K,3.6,Community,"Philadelphia, PA",201 - 500 ,Company - Private,Health Care Services & Hospitals,$500 million to $1 billion 
Senior Scientist - Toxicologist - Product Integrity (Stewardship),$110K-$163K,3.3,Reynolds,"Winston-Salem, NC",5001 - 10000 ,Company - Private,Consumer Products Manufacturing,$10
Senior Machine Learning Engineer,$110K-$163K,5.0,LifeOmic,"Raleigh, NC",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Product Data Scientist - Ads Data Science,$124K-$198K,4.1,Twitter,"San Francisco, CA",1001 - 5000 ,Company - Public,Internet,$2 to $5 billion 
Data Scientist,$124K-$198K,3.2,Postmates,"San Francisco, CA",1001 - 5000 ,Company - Private,Express Delivery Services,Unknown 
Data Scientist,$124K-$198K,4.9,Visionist,"Columbia, MD",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million 
Data Scientist,$124K-$198K,1.0,Navio,"San Mateo, CA",,Unknown,Not Classified,Unknown 
Data Scientist,$124K-$198K,3.3,Concerto,"Boston, MA",201 - 500 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Scientist,$124K-$198K,1.0,Evolvinc,"Burbank, CA",1 - 50 ,Company - Private,IT Services,Unknown 
Data Scientist,$124K-$198K,5.0,PROPRIUS,"Sunnyvale, CA",1 - 50 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Scientist,$124K-$198K,3.4,TECHNOCRAFT,"San Ramon, CA",1 - 50 ,Company - Private,Advertising & Marketing,$1 to $5 million 
Data Scientist,$124K-$198K,4.1,Latitude,"Washington, DC",1 - 50 ,Company - Private,Consulting,$1 to $5 million 
Data Scientist,$124K-$198K,5.0,Royce,"Springfield, VA",51 - 200 ,Company - Private,Aerospace & Defense,$10 to $25 million 
Data Scientist,$124K-$198K,4.2,CyberCoders,"Phoenix, AZ",201 - 500 ,Subsidiary or Business Segment,Staffing & Outsourcing,$100 to $500 million 
Data Scientist,$124K-$198K,3.7,Booz,"Oxnard, CA",10000+ ,Company - Public,Consulting,$5 to $10 billion 
Data Scientist,$124K-$198K,3.8,Burns,"Kansas City, MO",5001 - 10000 ,Company - Private,Architectural & Engineering Services,$1 to $2 billion 
Data Scientist,$124K-$198K,4.8,InvenTech,"Jersey City, NJ",201 - 500 ,Company - Private,IT Services,$1 to $5 million 
Data Scientist,$124K-$198K,3.5,Robert,"Manchester, NH",10000+ ,Company - Public,Staffing & Outsourcing,$2 to $5 billion 
Analytics - Business Assurance Data Analyst,$124K-$198K,4.6,GreatAmerica,"Cedar Rapids, IA",501 - 1000 ,Company - Private,Lending,$100 to $500 million 
Data Scientist,$124K-$198K,4.5,Conflux,"Winters, TX",1 - 50 ,Company - Private,Accounting,Less than $1 million 
Data Scientist,$124K-$198K,3.9,Criteo,"Ann Arbor, MI",1001 - 5000 ,Company - Public,Internet,$2 to $5 billion 
Data Scientist,$124K-$198K,3.4,Voice,"Brooklyn, NY",,Company - Private,Not Classified,Unknown 
Data Scientist,$124K-$198K,1.0,Microagility,"New York, NY",1 - 50 ,Company - Private,Consulting,$1 to $5 million 
Data Scientist,$124K-$198K,4.1,Coverent,"McLean, VA",51 - 200 ,Company - Private,Consulting,$10 to $25 million 
Data Scientist,$79K-$133K,3.7,Via,"New York, NY",501 - 1000 ,Company - Private,Internet,Unknown 
Senior Data Scientist,$79K-$133K,3.5,Benson,"Saint Louis, MO",201 - 500 ,Company - Private,Biotech & Pharmaceuticals,$1 to $5 million 
Data Scientist,$79K-$133K,4.6,Conch,"Concord, CA",51 - 200 ,Company - Private,Consulting,$5 to $10 million 
Data Scientist,$79K-$133K,1.0,Falcon,"Fort Belvoir, VA",,Company - Public,Not Classified,Unknown 
Data Scientist,$79K-$133K,1.0,Rainmaker,"Cincinnati, OH",1 - 50 ,Company - Private,Not Classified,Unknown 
Data Engineer,$79K-$133K,4.4,Rocket,"San Francisco, CA",51 - 200 ,Company - Private,Computer Hardware & Software,$50 to $100 million 
Data Scientist,$79K-$133K,3.6,DataLab,"Germantown, MD",51 - 200 ,Company - Private,IT Services,Unknown 
Data Scientist,$79K-$133K,3.1,Werner,"Omaha, NE",10000+ ,Company - Public,Logistics & Supply Chain,$2 to $5 billion 
Data Scientist,$79K-$133K,5.0,PeopleCom,"McLean, VA",1 - 50 ,Company - Private,Not Classified,$1 to $5 million 
Data Scientist - Machine Learning,$79K-$133K,5.0,VANTA,"Open Fork, VA",1 - 50 ,Company - Private,Staffing & Outsourcing,Unknown 
Data Scientist,$79K-$133K,1.0,B4Corp,"Reston, VA",51 - 200 ,Company - Private,IT Services,Unknown 
Data Scientist,$79K-$133K,1.0,Blue,United States,1 - 50 ,Company - Private,Not Classified,Unknown 
Data Scientist,$79K-$133K,3.5,Farmer,"San Carlos, CA",201 - 500 ,Company - Private,Farm Support Services,Unknown 
Data Scientist,$79K-$133K,1.0,Sonde,"Boston, MA",1 - 50 ,Private Practice / Firm,Health Care Services & Hospitals,Less than $1 million 
Data Scientist,$79K-$133K,5.0,Maxiom,"Ashburn, VA",1 - 50 ,Company - Public,Not Classified,Unknown 
Data Scientist,$79K-$133K,2.7,Change,"Lombard, IL",10000+ ,Company - Public,IT Services,Unknown 
Data Scientist,$79K-$133K,4.1,DCS,"Hampton, VA",1001 - 5000 ,Company - Private,Research & Development,$100 to $500 million 
Data Scientist,$79K-$133K,2.1,Hive,"San Francisco, CA",,Company - Private,Telecommunications Services,Unknown 
Machine Learning Engineer/Scientist,$79K-$133K,4.8,Jane,"New York, NY",501 - 1000 ,Company - Private,Investment Banking & Asset Management,Unknown 
Data Scientist - Intermediate,$69K-$116K,4.5,Envision,"Saint Louis, MO",201 - 500 ,Company - Private,Staffing & Outsourcing,$25 to $50 million 
Principal Data Scientist,$69K-$116K,4.0,Autodesk,"San Francisco, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Data Scientist,$69K-$116K,3.3,Hackensack,"Edison, NJ",10000+ ,Nonprofit Organization,Health Care Services & Hospitals,$5 to $10 billion 
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$69K-$116K,3.9,Novartis,"Cambridge, MA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$69K-$116K,3.2,Net2Source,"Alpharetta, GA",1001 - 5000 ,Company - Private,Staffing & Outsourcing,$100 to $500 million 
Data Scientist,$69K-$116K,3.2,The,"Boulder, CO",1001 - 5000 ,Company - Public,Internet,Unknown 
Data Scientist- Industrial Discrete Sector Industry,$69K-$116K,3.7,IBM,"Atlanta, GA",10000+ ,Company - Public,IT Services,$10
Data Scientist,$69K-$116K,4.4,Knowesis,"Falls Church, VA",51 - 200 ,Company - Private,Consulting,$25 to $50 million 
Data Scientist,$69K-$116K,3.1,MoTek,"Mountain View, CA",1 - 50 ,Company - Private,IT Services,$1 to $5 million 
Data Scientist,$69K-$116K,3.3,The,"Kent, OH",10000+ ,Self-employed,Timber Operations,$1 to $2 billion 
Data Scientist,$69K-$116K,3.5,HPOne,"Trumbull, CT",501 - 1000 ,Company - Private,Insurance Carriers,$50 to $100 million 
Data Scientist,$69K-$116K,1.0,Stride,"San Francisco, CA",1 - 50 ,Company - Private,Not Classified,Less than $1 million 
Machine Learning Engineer,$69K-$116K,2.6,Software,"Pittsburgh, PA",501 - 1000 ,College / University,Colleges & Universities,Unknown 
Data Scientist,$69K-$116K,1.0,Blue,"Sterling, VA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$69K-$116K,2.7,TBWA,"New York, NY",1001 - 5000 ,Company - Public,Advertising & Marketing,$100 to $500 million 
Data Scientist,$69K-$116K,3.5,ThreeBridge,"Alpharetta, GA",501 - 1000 ,Company - Private,Consulting,Unknown 
Data Scientist,$69K-$116K,3.2,Numeric,"Philadelphia, PA",1 - 50 ,Company - Private,Staffing & Outsourcing,$5 to $10 million 
Data Analyst - Unilever Prestige,$69K-$116K,3.8,Dermalogica,"Carson, CA",201 - 500 ,Subsidiary or Business Segment,Consumer Products Manufacturing,$100 to $500 million 
Data Scientist,$69K-$116K,4.2,Centraprise,"Foster City, CA",51 - 200 ,Company - Private,IT Services,Less than $1 million 
Data Scientist,$69K-$116K,4.8,TechProjects,"New York, NY",1 - 50 ,Company - Private,IT Services,Unknown 
Data Scientist,$69K-$116K,4.2,DW,"Frederick, MD",51 - 200 ,Company - Private,Staffing & Outsourcing,$10 to $25 million 
Data & Machine Learning Scientist,$31K-$56K,3.3,Tempus,"Chicago, IL",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Scientist,$31K-$56K,4.0,Grid,"Santa Clara, CA",1001 - 5000 ,Company - Private,Enterprise Software & Network Solutions,$50 to $100 million 
"VP, Data Science",$31K-$56K,3.9,7Park,"New York, NY",51 - 200 ,Company - Private,Research & Development,Unknown 
Senior Business Intelligence Analyst,$31K-$56K,3.7,Protolabs,"Maple Plain, MN",1001 - 5000 ,Company - Public,Miscellaneous Manufacturing,$100 to $500 million 
Data Scientist,$31K-$56K,3.9,LinQuest,"Colorado Springs, CO",501 - 1000 ,Company - Private,Aerospace & Defense,$50 to $100 million 
Data Engineer - Kafka,$31K-$56K,3.5,Western,"San Jose, CA",10000+ ,Company - Public,Computer Hardware & Software,$10
Data Scientist,$31K-$56K,4.0,Trexquant,United States,1 - 50 ,Company - Private,Investment Banking & Asset Management,Unknown 
Data Scientist,$31K-$56K,3.0,Ameritas,"Cincinnati, OH",1001 - 5000 ,Company - Private,Insurance Agencies & Brokerages,$2 to $5 billion 
Data Scientist,$31K-$56K,3.7,Fleetcor,"Atlanta, GA",5001 - 10000 ,Company - Public,Financial Transaction Processing,$2 to $5 billion 
Data Scientist,$31K-$56K,4.5,Radiant,"Washington, DC",1 - 50 ,Company - Private,Not Classified,Less than $1 million 
Data Scientist,$31K-$56K,2.8,Child,"Arlington, VA",51 - 200 ,Nonprofit Organization,Social Assistance,$25 to $50 million 
Data Scientist,$31K-$56K,4.1,IntelliPro,"Santa Clara, CA",201 - 500 ,Company - Private,Not Classified,$10 to $25 million 
In-Line Inspection Data Analyst,$31K-$56K,2.9,Quest,"Tulsa, OK",201 - 500 ,Company - Public,Oil & Gas Services,$50 to $100 million 
Data Scientist,$31K-$56K,4.7,Praxis,"Chantilly, VA",201 - 500 ,Subsidiary or Business Segment,Computer Hardware & Software,$100 to $500 million 
Data Scientist,$31K-$56K,3.4,USI,"Southfield, MI",1001 - 5000 ,Company - Private,Construction,$100 to $500 million 
Data Scientist,$31K-$56K,3.9,Apex,"San Francisco, CA",1001 - 5000 ,Subsidiary or Business Segment,Staffing & Outsourcing,$2 to $5 billion 
Data Scientist,$31K-$56K,2.9,Pragmatics,United States,201 - 500 ,Company - Private,IT Services,$100 to $500 million 
Decision Scientist,$31K-$56K,4.5,Johns,"Laurel, MD",5001 - 10000 ,Nonprofit Organization,Aerospace & Defense,$1 to $2 billion 
Data Scientist,$31K-$56K,4.9,Cambridge,"Cambridge, MA",1 - 50 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Scientist - TS/SCI FSP or CI Required,$31K-$56K,5.0,Phoenix,"Annapolis Junction, MD",1 - 50 ,Company - Private,IT Services,$1 to $5 million 
"Data Scientist, Applied Machine Learning - Bay Area",$95K-$119K,3.3,Tempus,"Redwood City, CA",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Scientist,$95K-$119K,3.5,The,"Washington, DC",1001 - 5000 ,Company - Private,Internet,Unknown 
Data Scientist,$95K-$119K,3.5,Crossover,"San Clemente, CA",1 - 50 ,Company - Private,Health Care Services & Hospitals,$1 to $5 million 
Data Scientist,$95K-$119K,4.0,Lorven,"New York, NY",1 - 50 ,Company - Private,Accounting,Less than $1 million 
Data Analyst,$95K-$119K,3.9,Nolij,"Falls Church, VA",51 - 200 ,Company - Public,Consulting,$1 to $5 million 
Data Scientist,$95K-$119K,3.4,Dice.com,"Newton, MA",201 - 500 ,Subsidiary or Business Segment,Staffing & Outsourcing,$100 to $500 million 
Data Scientist,$95K-$119K,3.5,Gap,"San Francisco, CA",10000+ ,Company - Public,"Department, Clothing, & Shoe Stores",$10
Data Scientist,$95K-$119K,4.7,Tygart,"Washington, DC",1 - 50 ,Company - Private,Not Classified,$1 to $5 million 
Data Scientist,$95K-$119K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$95K-$119K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$95K-$119K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$95K-$119K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$95K-$119K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$95K-$119K,1.0,Hatch,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$95K-$119K,4.6,Murray,"The Woodlands, TX",1 - 50 ,Company - Private,Staffing & Outsourcing,$10 to $25 million 
Data Scientist,$95K-$119K,4.0,New,"Seattle, WA",51 - 200 ,Company - Private,Computer Hardware & Software,$10 to $25 million 
Data Scientist,$95K-$119K,4.0,Two95,"Chicago, IL",1 - 50 ,Company - Private,Staffing & Outsourcing,$1 to $5 million 
Data Scientist,$95K-$119K,1.0,Sophinea,"Chantilly, VA",1 - 50 ,Unknown,Not Classified,Unknown 
Data Scientist,$95K-$119K,4.7,CRS,"Chicago, IL",51 - 200 ,Company - Private,Staffing & Outsourcing,$10 to $25 million 
Data Scientist,$95K-$119K,3.5,Blackstone,"San Francisco, CA",51 - 200 ,Company - Private,Consulting,$25 to $50 million 
Data Scientist - TS/SCI Required,$95K-$119K,5.0,Phoenix,"Baltimore, MD",1 - 50 ,Company - Private,IT Services,$1 to $5 million 
Senior Principal Data Scientist (Python/R),$212K-$331K,4.1,Roche,"Pleasanton, CA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
"Real World Science, Data Scientist",$212K-$331K,4.0,AstraZeneca,"Wilmington, DE",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$212K-$331K,3.6,Creative,United States,201 - 500 ,Company - Public,Staffing & Outsourcing,Unknown 
Data Scientist(s)/Machine Learning Engineer,$212K-$331K,5.0,Blue,"New York, NY",1 - 50 ,Company - Private,Staffing & Outsourcing,Unknown 
Senior Data Scientist,$212K-$331K,3.5,Maxar,"Herndon, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Data Scientist,$212K-$331K,4.7,Sharpedge,"Seattle, WA",,Company - Private,Publishing,Less than $1 million 
Data Scientist,$212K-$331K,3.5,Maxar,"Herndon, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Data Scientist,$212K-$331K,3.6,Alaka,"Fort Sam Houston, TX",501 - 1000 ,Government,Not Classified,Unknown 
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$212K-$331K,3.9,Southwest,"Oklahoma City, OK",1001 - 5000 ,Nonprofit Organization,Research & Development,$500 million to $1 billion 
Data Scientist,$212K-$331K,2.7,Hexagon,"Lexington Park, MD",51 - 200 ,Company - Public,Aerospace & Defense,Unknown 
Data Science Software Engineer,$212K-$331K,4.8,Klaviyo,"Boston, MA",201 - 500 ,Company - Private,Computer Hardware & Software,Unknown 
"Scientist / Group Lead, Cancer Biology",$212K-$331K,1.0,Monte,"Cambridge, MA",Not Classified,Not Classified,Not Classified,Not Classified
Data Scientist,$212K-$331K,4.0,Comtech,"Washington, DC",51 - 200 ,Company - Private,"Health, Beauty, & Fitness",$5 to $10 million 
Data Scientist,$212K-$331K,3.8,Aveshka,"Washington, DC",51 - 200 ,Company - Public,IT Services,$10 to $25 million 
"Manager, Field Application Scientist, Southeast",$212K-$331K,4.2,10x,"Raleigh, NC",501 - 1000 ,Company - Public,Biotech & Pharmaceuticals,Unknown 
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,$212K-$331K,3.9,Southwest,"Dayton, OH",1001 - 5000 ,Nonprofit Organization,Research & Development,$500 million to $1 billion 
Data Scientist,$212K-$331K,1.0,CompuForce,"New York, NY",,Company - Private,Not Classified,Unknown 
Data Scientist,$212K-$331K,4.5,Smith,"Washington, DC",1 - 50 ,Company - Private,Staffing & Outsourcing,Unknown 
Scientist - Machine Learning,$212K-$331K,3.5,Allen,"Seattle, WA",201 - 500 ,Nonprofit Organization,Research & Development,$100 to $500 million 
Data Scientist,$212K-$331K,2.7,1-800-Flowers,"New York, NY",1001 - 5000 ,Company - Public,Wholesale,$1 to $2 billion 
Data Scientist,$212K-$331K,3.5,Aptive,"Washington, DC",51 - 200 ,Company - Private,Consulting,$25 to $50 million 
Data Scientist - Image and Video Analytics,$66K-$112K,4.9,The,"Longmont, CO",1 - 50 ,Company - Private,Staffing & Outsourcing,Unknown 
Data Scientist,$66K-$112K,3.6,Powertek,"Washington, DC",51 - 200 ,Company - Private,IT Services,$25 to $50 million 
Data Scientist,$66K-$112K,5.0,JCD,"Washington, DC",1 - 50 ,Company - Private,Not Classified,Unknown 
Data Scientist,$66K-$112K,3.1,Bayside,"Sunnyvale, CA",1 - 50 ,Company - Private,Staffing & Outsourcing,$1 to $5 million 
Senior Data Engineer,$66K-$112K,3.9,Thumbtack,"San Francisco, CA",501 - 1000 ,Company - Private,Internet,Unknown 
Data Scientist,$66K-$112K,3.4,MILVETS,"Patuxent, Anne Arundel, MD",51 - 200 ,Company - Private,IT Services,$25 to $50 million 
Machine Learning Scientist / Engineer,$66K-$112K,4.1,Apple,"Santa Clara, CA",10000+ ,Company - Public,Computer Hardware & Software,$10
Data Scientist,$66K-$112K,4.1,Kforce,"Fairfax, VA",10000+ ,Company - Public,Staffing & Outsourcing,$1 to $2 billion 
Sr. Data Scientist,$66K-$112K,3.5,Evolve,"Denver, CO",201 - 500 ,Company - Private,Travel Agencies,Unknown 
"Intelligence Data Analyst, Senior",$66K-$112K,4.3,The,"Fort Belvoir, VA",501 - 1000 ,Company - Private,IT Services,$100 to $500 million 
Data Science Analyst,$66K-$112K,4.4,OppLoans,"Chicago, IL",201 - 500 ,Company - Private,Lending,$100 to $500 million 
Data Scientist,$66K-$112K,3.8,AgreeYa,"Thousand Oaks, CA",1001 - 5000 ,Company - Private,IT Services,$50 to $100 million 
Data Scientist,$66K-$112K,3.7,Carolina,"McLean, VA",5001 - 10000 ,Subsidiary or Business Segment,Energy,Unknown 
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,$66K-$112K,3.9,Southwest,"San Antonio, TX",1001 - 5000 ,Nonprofit Organization,Research & Development,$500 million to $1 billion 
Data Scientist,$66K-$112K,3.9,Brillient,"Silver Spring, MD",501 - 1000 ,Company - Private,IT Services,$25 to $50 million 
Data Modeler (Analytical Systems),$66K-$112K,3.7,MassMutual,"Boston, MA",5001 - 10000 ,Company - Private,Insurance Carriers,$10
Data Scientist,$66K-$112K,2.9,Xator,"Washington, DC",501 - 1000 ,Contract,IT Services,$25 to $50 million 
Data Scientist,$66K-$112K,4.6,HAN,"New York, NY",51 - 200 ,Company - Private,IT Services,Unknown 
Data Scientist,$66K-$112K,3.4,Infinitive,"McLean, VA",201 - 500 ,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million 
"Data Engineer (Analytics, SQL, Python, AWS)",$66K-$112K,4.0,Travelers,"Hartford, CT",10000+ ,Company - Public,Insurance Carriers,$10
Data Scientist 3 (718),$128K-$201K,3.3,Amyris,"Emeryville, CA",201 - 500 ,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million 
Data Scientist,$128K-$201K,4.3,Lightspeed,"Austin, TX",51 - 200 ,Company - Private,Computer Hardware & Software,$25 to $50 million 
Senior Data Scientist,$128K-$201K,3.9,Thumbtack,"San Francisco, CA",501 - 1000 ,Company - Private,Internet,Unknown 
Senior Data Analyst - Finance & Platform Analytics,$128K-$201K,3.6,Twitch,"San Francisco, CA",1001 - 5000 ,Subsidiary or Business Segment,Internet,Unknown 
Software Engineer - Machine Learning & Data Science (Applied Intelligence Services Team),$128K-$201K,4.7,New,"Portland, OR",1001 - 5000 ,Company - Public,Computer Hardware & Software,$100 to $500 million 
IT Partner Digital Health Technology and Data Science,$128K-$201K,3.6,Biogen,"Cambridge, MA",5001 - 10000 ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$128K-$201K,1.0,HireAi,"San Francisco, CA",Not Classified,Not Classified,Not Classified,Not Classified
"Senior Machine Learning Scientist - Bay Area, CA",$128K-$201K,3.3,Tempus,"Redwood City, CA",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Scientist,$128K-$201K,3.3,ICW,"San Diego, CA",501 - 1000 ,Company - Private,Insurance Carriers,$500 million to $1 billion 
Clinical Data Analyst,$128K-$201K,3.8,NYSTEC,"New York, NY",51 - 200 ,Nonprofit Organization,Consulting,$25 to $50 million 
Data Scientist,$128K-$201K,4.5,E3,"Chantilly, VA",501 - 1000 ,Company - Private,Consulting,Unknown 
Data Engineer,$128K-$201K,4.5,Kingfisher,"Falls Church, VA",51 - 200 ,Company - Private,Federal Agencies,$25 to $50 million 
Data Scientist Technical Specialist,$128K-$201K,3.4,Peraton,"Chantilly, VA",1001 - 5000 ,Company - Private,Aerospace & Defense,$1 to $2 billion 
Senior Data Scientist,$128K-$201K,3.1,Group,"Chicago, IL",1001 - 5000 ,Company - Private,Staffing & Outsourcing,$500 million to $1 billion 
Data Science Manager,$128K-$201K,4.0,Autodesk,"San Francisco, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Computer Vision / Deep Learning Scientist,$128K-$201K,3.3,Tempus,"Chicago, IL",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Big Data Engineer,$128K-$201K,4.1,CaptiveAire,"Raleigh, NC",1001 - 5000 ,Company - Private,Industrial Manufacturing,$100 to $500 million 
Data Architect,$128K-$201K,4.2,LSQ,"Orlando, FL",51 - 200 ,Company - Private,Investment Banking & Asset Management,$100 to $500 million 
Machine Learning Engineer,$128K-$201K,3.9,Temboo,"New York, NY",1 - 50 ,Company - Private,IT Services,Unknown 
Data Scientist,$128K-$201K,1.0,Kibo,"Philadelphia, PA",,Company - Public,Not Classified,Unknown 
Aviation AI/ML Data Scientist,$128K-$201K,3.3,MITRE,"McLean, VA",5001 - 10000 ,Nonprofit Organization,Federal Agencies,$1 to $2 billion 
Data Scientist,$138K-$158K,3.9,Mars,United States,10000+ ,Company - Private,Food & Beverage Manufacturing,$10
Data Scientist / Applied Mathematician,$138K-$158K,4.5,Fullpower,"Santa Cruz, CA",51 - 200 ,Company - Private,Computer Hardware & Software,$10 to $25 million 
"Machine Learning Engineer, Sr.",$138K-$158K,4.2,AeroVironment,"Simi Valley, CA",501 - 1000 ,Company - Public,Aerospace & Defense,$100 to $500 million 
Data Scientist (TS/SCI w/ Poly),$138K-$158K,3.5,Maxar,"Herndon, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Weapons and Sensors Engineer/Scientist,$138K-$158K,4.0,Dynetics,"Huntsville, AL",1001 - 5000 ,Company - Private,Aerospace & Defense,$100 to $500 million 
Applied Computer Scientist,$138K-$158K,4.5,Systems,"Woburn, MA",201 - 500 ,Company - Private,Aerospace & Defense,$100 to $500 million 
Senior Data Analyst,$138K-$158K,4.5,Novetta,"Herndon, VA",501 - 1000 ,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million 
Information Systems Engineering Specialist (Engineering Scientist),$138K-$158K,3.8,Applied,"Austin, TX",501 - 1000 ,College / University,Colleges & Universities,Unknown 
Cloud Data Engineer (Azure),$138K-$158K,3.9,Navy,"Merrifield, VA",10000+ ,Other Organization,Banks & Credit Unions,Unknown 
Scientist/Research Associate-Metabolic Engineering,$138K-$158K,2.0,Conagen,"New Bedford, MA",51 - 200 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
"Vice President, Biometrics and Clinical Data Management",$138K-$158K,4.8,Alector,"South San Francisco, CA",51 - 200 ,Company - Public,Biotech & Pharmaceuticals,Unknown 
Enterprise Data Analyst (Enterprise Portfolio Management Office),$138K-$158K,3.9,Navy,"Merrifield, VA",10000+ ,Other Organization,Banks & Credit Unions,Unknown 
Senior Scientist - Toxicologist - Product Integrity (Stewardship),$138K-$158K,3.3,Reynolds,"Winston-Salem, NC",5001 - 10000 ,Company - Private,Consumer Products Manufacturing,$10
Lead Data Scientist – Network Analysis and Control,$138K-$158K,3.3,MITRE,"Bedford, MA",5001 - 10000 ,Nonprofit Organization,Federal Agencies,$1 to $2 billion 
Senior Machine Learning Engineer,$138K-$158K,5.0,LifeOmic,"Raleigh, NC",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
"Sr. Research Associate/ Scientist, NGS prep & Molecular Genomics",$138K-$158K,4.4,Homology,"New Bedford, MA",51 - 200 ,Company - Public,Not Classified,Unknown 
Data Engineer,$138K-$158K,3.4,Spectrum,"Chicago, IL",51 - 200 ,Company - Private,Advertising & Marketing,$10 to $25 million 
Developer III - Data Science,$138K-$158K,3.3,Inland,"Rancho Cucamonga, CA",1001 - 5000 ,Company - Public,Health Care Services & Hospitals,$1 to $2 billion 
Senior Data Engineer,$138K-$158K,2.9,Affinity,"New York, NY",51 - 200 ,Company - Private,Advertising & Marketing,Unknown 
Hydrogen/Tritium Materials Scientist (Experienced),$138K-$158K,3.8,Sandia,"Livermore, CA",10000+ ,Government,Federal Agencies,$2 to $5 billion 
Data Engineer,$138K-$158K,3.5,Maxar,"McLean, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Patient Safety- Associate Data Scientist,$80K-$132K,4.0,AstraZeneca,"Gaithersburg, MD",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Senior Data Scientist,$80K-$132K,4.0,Autodesk,"San Francisco, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Data Scientist,$80K-$132K,3.4,USI,"Southfield, MI",1001 - 5000 ,Company - Private,Construction,$100 to $500 million 
Data Scientist,$80K-$132K,3.9,GSK,"Collegeville, PA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10
Data Scientist,$80K-$132K,3.8,CIA,"Washington, DC",,Government,Federal Agencies,Unknown 
Data Scientist,$80K-$132K,4.5,Maven,"Chicago, IL",201 - 500 ,Company - Private,Consulting,$50 to $100 million 
